,text
291,"Бутыли полиэтиленовые с завинчивающимися по ТУ 6-19-110-78 пробками вместимостью 0,5, 1 и 10 куб. дм"
292,"Бутыли стеклянные с завинчивающимися или притертыми пробками вместимостью 1, 10 или 20 куб. дм"
293,Пипетки по ГОСТ 20292-74Е 4-2-1 6-2-5 6-2-10
294,Осадкосборники с эмалированной или стеклянной приемной поверхностью
295,Цилиндры мерные вместимостью 25; 50; по ГОСТ 1770-74Е 100; 500; 1000 куб. см
296,Стиральный порошок
297,Дистиллированная вода
298,Фотоэлектроколориметр или спектрофотометр
299,рН-метр-милливольтметр рН-673
300,Весы аналитические ВЛА-200
301,Барограф погрешность +/- 7 гПа
302,Термограф погрешность +/- 1 °С
303,Газовый счетчик ГСБ-400; погрешность +/- 1%
304,Микрокомпрессор ВК-1
305,Колбы мерные по ГОСТ 1770-74Е 2-100-2 - 9 шт. 2-250-2 - 1 шт. 2-500-2 - 3 шт. 2-1000-2 - 2 шт.
306,Пипетки по ГОСТ 20292-74Е 4-2-1 - 5 шт. 4-2-2 - 2 шт. 2-2-5 - 3 шт. 6-2-10 - 2 шт. 2-2-10 - 2 шт. 2-2-50 - 2 шт. 2-2-100 - 1 шт.
307,"Бюретки 3-2-25-0,1 - 3 шт"
308,Секундомер; класс 3; цена деления
309,Барограф; погрешность +/- 7 гПа
310,Термограф; погрешность +/- 1 °С
311,Барометр-анероид М-67
312,Термометр лабораторный шкальный ТЛ-2
313,Электроаспиратор ЭА-1; погрешность по ТУ 25-11-1414-78 +/- 10%; Госреестр N 5997-77
314,Газовый счетчик ГСБ-400; погрешность по ГОСТ 6463-53 +/- 1%; Госреестр N 734-72
315,Электроаспиратор ЭА-3
316,Атомно-абсорбционный спектрофотометр
317,Потенциометр с термопарой или по ГОСТ 215-73 термометр ТЛ-3 на 500 °С
318,Ножницы
319,Трубки сорбционные СТ 212 (маркировка 2)
320,Стаканы В-1-50 ТС
321,Холодильник (бытовой)
322,Центрифуга (3 - 4 тыс. об./мин.)
323,Трубки сорбционные СТ 212
324,"Электропечь трубчатая для по ТУ 16531-641-78 микроанализа СУОЛ-0,25.1,1/12МР-ПЗ"
325,Преобразователь термоэлектрический платинородий-платиновый ТПП-1378; длина 120 мм
326,"Резистор СП5-18 (сопротивление проволочное переменное 0,1 кОм)"
327,"Магнитный пускатель П6-122,43"
328,Лабораторные автотрансформаторы
329,Электрическая плитка бытовая
330,Аппарат для получения по МРТУ 42-2028-62 бидистиллированной воды
331,Баллон с ацетиленом
332,Бутыли полиэтиленовые по ТУ 6-19-110-78 вместимостью 500 куб. см
333,Воронки стеклянные диаметром 50 мм
334,Груша резиновая
335,Лабораторный автотрансформатор
336,Печь муфельная ПМ-8
337,Плитка электрическая с песчаной баней по ГОСТ 306-69 типа ШС-1/08-Н
338,Колбы мерные по ГОСТ 1770-74Е 2-100-2 - 9 шт. 2-250-2 - 1 шт. 2-500-2 - 3 шт. 2-1000-2 - 2 шт.
339,"Электроаспираторы модели 822, ЭА-1, ЭА-2, ЭА-2С, ЭА-3"
340,Воздухоотборник 'Компонент'
341,"Фотоэлектроколориметр типа КФК-2, КФК-2мп (КФК-3) по ТУ 3.3.1766, ТУ 3.3.1860 или спектрофотометр типа СФ-46 (СФ-26)"
342,Весы аналитические 2 класса точности по ГОСТ 24104.
343,Весы технические лабораторные 4 класса точности по ГОСТ 24104 с пределом взвешивания 200 г
344,"рН-метр типа рН-150, рН-155 по ТУ 25-7410.003, ТУ 25-7416.0171 или иономер типа Анион-210, Анион-214"
345,Термометр по ГОСТ 29224 с диапазоном 0 - 100 °С
346,Шкаф сушильный общелабораторного назначения по ГОСТ 13474.
347,Плитки электрические с закрытой спиралью и регулируемой мощностью нагрева по ГОСТ 14919.
348,Колбы мерные не ниже 2 класса точности по ГОСТ 1770 вместимостью: 50 куб. см - 1 100 куб. см - 1
349,Колбы мерные или пробирки градуированные с притертой пробкой по ГОСТ 1770 вместимостью: 25 куб. см - 12
350,Пипетки градуированные не ниже 2 класса точности по ГОСТ 29227 вместимостью:  2 куб. см - 1 5 куб. см - 5
351,Пипетка с одной отметкой не ниже 2 класса точности по ГОСТ 29169 вместимостью:  5 куб. см - 1
352,Цилиндры мерные по ГОСТ 1770 вместимостью: 10 куб. см - 3 25 куб. см - 1 50 куб. см - 2 500 куб. см - 2
353,"Воронки делительные по ГОСТ 25336 вместимостью: 0,7 - 1 куб. дм - 6"
354,Стаканы химические по ГОСТ 25336 вместимостью: 100 куб. см - 2 500 куб. см - 1 1000 куб. см - 1
355,Воронки лабораторные для фильтрования по ГОСТ 25336 диаметром: 3 см - 7 6 см - 2
356,Стаканчики для взвешивания (бюксы)по ГОСТ 25336 2
357,"Установка для отгонки фенолов (колба плоскодонная термостойкая вместимостью 1 куб. дм, каплеуловитель с отводом, холодильник) по ГОСТ 25336 6"
358,Колбы конические по ГОСТ 25336 вместимостью: 500 куб. см - 6
359,Колбы конические или плоскодонные термостойкие по ГОСТ 25336 вместимостью: 1 - 2 куб. дм - 3
360,Колба Вюрца (колба с отводом) по ГОСТ 25336 вместимостью: 50 куб. см - 1
361,Установка для перегонки растворителей с дефлегматором длиной не менее 25 см по ГОСТ 25336 1
362,Палочка стеклянная 1
363,"Фотометр или спектрофотометр любого типа (КФК-3, КФК-2, СФ-46, СФ-56 "
364,Весы лабораторные высокого (II) класса точности по ГОСТ 24104-2001.
365,Весы лабораторные обычного (IV) класса точности по ГОСТ 29329-92 с наибольшим пределом взвешивания 200 г.
366,"Государственный стандартный образец состава водных растворов формальдегида, ГСО 7347-96 (далее - ГСО)."
367,Колбы мерные 2 класса точности исполнения 2 по ГОСТ 1770-74 вместимостью: 25 куб. см - 7 шт. 100 куб. см - 3 шт. 500 куб. см - 1 шт.
368,"Бюретка 2 класса точности исполнения 1, 3 по ГОСТ 29251-91 вместимостью: 25 куб. см - 1 шт."
369,"Пипетки градуированные 2 класса точности исполнения 1, 2 по ГОСТ 29227-91 вместимостью: 1 куб. см - 5 шт. 2 куб. см - 4 шт. 5 куб. см - 6 шт. 10 куб. см - 1 шт."
370,Пипетки с одной отметкой 2 класса точности исполнения 2 по ГОСТ 29169-91 вместимостью: 5 куб. см - 3 шт. 10 куб. см - 3 шт. 20 куб. см - 1 шт.
371,"Цилиндры мерные исполнения 1, 3 по ГОСТ 1770-74 вместимостью: 25 куб. см - 3 шт. 50 куб. см - 1 шт. 100 куб. см - 4 шт. 250 куб. см - 2 шт. 500 куб. см - 2 шт."
372,Пробирка коническая (исполнения 1) по ГОСТ 1770-74 - 1 шт.
373,"Установки из стекла для отгонки формальдегида, включающие круглодонные колбы К-1 вместимостью 250 куб. см с взаимозаменяемым конусом 29/32, переходы П-1-29/32-14/23, каплеуловители КО-14/23-60 или КО-14/23-100, холодильники прямые ХПТ исполнения 1, 3 длиной 300 - 400 мм по ГОСТ 25336-82."
374,Колбы конические Кн исполнения 2 по ГОСТ 25336-82 вместимостью: 50 - 100 куб. см - 10 шт. 250 куб. см - 2 шт. 1000 куб. см - 1 шт.
375,"Стаканы В-1, ТХС по ГОСТ 25336-82 вместимостью: 50 куб. см - 1 шт. 100 куб. см 10 шт. 250 куб. см - 2 шт. 500 куб. см - 1 шт. 1000 куб. см - 1 шт."
376,Стаканчики для взвешивания (бюксы) СВ-19/9 и СВ-24/10 по ГОСТ 25336-82 - 4 шт.
377,Шпатели.
378,"Палочки стеклянные длиной 25 - 30 см, диаметром 3 - 4 мм - 2 шт."
379,"Посуда стеклянная из темного и светлого стекла для хранения проб, градуировочных и вспомогательных растворов с завинчивающимися или притертыми пробками вместимостью 50, 100 и 500 куб. см."
380,Посуда полиэтиленовая (полипропиленовая) для хранения растворов вместимостью 100 или 250 см.
381,Холодильник бытовой.
382,Шкаф сушильный общелабораторного назначения.
383,Электроплитки с закрытой спиралью и регулируемой мощностью нагрева по ГОСТ 14919-83.
384,Баня водяная.
385,Бумага
386,"Азотная кислота, Q=1,4 г/см по ГОСТ 11125."
387,"Гидрооксид натрия, c (NaOH) = 2,5 моль/дм."
388,"Соляная кислота, c (HCI) = 0,3 моль/дм"
389,Метил-изобутилкетон.
390,"Аммоний-1-пирролидиндитиокарбамат, 20 г/дм"
391,"Бромфеноловый синий, раствор индикатора"
392,"Металлы, стандартные растворы, содержащие 1,000 г/дм анализируемого металла"
393,Поршень с выпуклой шляпкой
394,Металлический цилиндр
395,Средства удержания поршня к цилиндру
396,Зажимное кольцо
397,"Пресс, для вдавливания поршня"
398,Вырубной нож
399,Тонкий полиэтиленовый листовой материал
400,"Нож, для вырезания круглых полиэтиленовых колец"
401,Электрический фен (вентилятор).
402,Печь с вентилятором
403,Жаропрочные перчатки
404,Ацетон или другие растворители
405,Разделительное средство на основе силикона в форме спрея
406,Металлическая форма
407,Гидравлический пресс
408,"Инструмент, вырубной нож"
409,Источник пара
410,Ремешки или подобные устройства
411,Высотомер
412,Толщиномер
413,Прибор для ручной (механической) компрессии
414,Цилиндр мерный вместимостью 500 см
415,Колбы мерные по ГОСТ 1770.
416,Пипетки градуированные по ГОСТ 29227 или с одной отметкой по ГОСТ 29169.
417,Микродозаторы.
418,Весы лабораторные общего назначения 2-го класса точности по ГОСТ 24104 с наибольшим пределом взвешивания 200 г.
419,Государственные стандартные образцы состава водных растворов элементов по ГОСТ 8.315.
420,Стаканчики для взвешивания по ГОСТ 25336.
421,Стакан термостойкий по ГОСТ 25336.
422,Холодильник бытовой любого типа.
423,Фильтры бумажные обеззоленные
424,Устройство для фильтрования.
425,Плитка электрическая с закрытой спиралью по ГОСТ 14919.
426,Аквадистилляторы одноступенчатый и двухступенчатый по ГОСТ 28165.
427,Посуда для транспортирования и хранения отобранных проб воды
428,"Кислота азотная по ГОСТ 11125, особой чистоты или по ГОСТ 4461, очищенная методом перегонки"
429,"Вода бидистиллированная или деионизированная (дистиллированная вода по ГОСТ 6709, перегнанная повторно или пропущенная через колонку с ионообменной смолой по ГОСТ 20298)."
430,Аргон газообразный высокой чистоты по ГОСТ 10157 или азот газообразный по ГОСТ 9293.
431,"Нитрат магния 6-водный по ГОСТ 11088, ч.д.а."
432,Цилиндр мерный вместимостью 500 см
433,Колбы мерные по ГОСТ 1770.
434,Пипетки градуированные по ГОСТ 29227 или с одной отметкой по ГОСТ 29169.
435,Микродозаторы.
436,Весы лабораторные общего назначения 2-го класса точности по ГОСТ 24104 с наибольшим пределом взвешивания 200 г.
437,Государственные стандартные образцы состава водных растворов элементов по ГОСТ 8.315.
438,Стаканчики для взвешивания по ГОСТ 25336.
439,Стакан термостойкий по ГОСТ 25336.
440,Холодильник бытовой любого типа.
441,Фильтры бумажные обеззоленные
442,Устройство для фильтрования.
443,Плитка электрическая с закрытой спиралью по ГОСТ 14919.
444,Аквадистилляторы одноступенчатый и двухступенчатый по ГОСТ 28165.
445,Посуда для транспортирования и хранения отобранных проб воды
446,"Кислота азотная по ГОСТ 11125, особой чистоты или по ГОСТ 4461, очищенная методом перегонки"
447,"Вода бидистиллированная или деионизированная (дистиллированная вода по ГОСТ 6709, перегнанная повторно или пропущенная через колонку с ионообменной смолой по ГОСТ 20298)."
448,Аргон газообразный высокой чистоты по ГОСТ 10157 или азот газообразный по ГОСТ 9293.
449,"Нитрат магния 6-водный по ГОСТ 11088, ч.д.а."
450,"Пробы воды отбирают по ГОСТ 4979 и ГОСТ 24481 в посуду объемом 0,2-0,5 дм"
451,Вода 1 класса в соответствии с ISO 3696
452,"Азотная кислота, 1,4 г/мл."
453,"Перекись водорода, 30%"
454,"Серная кислота, 1,84 г/мл."
455,"Соляная кислота, 1,16 г/мл"
456,"Соляная кислота, c(HCI)=0,2 моль/л."
457,Сульфат аммония
458,"Базовые растворы элементов Ag, Al, As, B, Ba, Be, Bi, Ca, Cd, Co, Cr, Cu, Fe, Ga, In, K, Li, Mg, Mn, Mo, Na, Ni, P, Pb, S, Sb, Se, Si, Sn, Sr, Ti, V, W, Zn, Zr с массовой концентрацией каждого из элементов 1000 мг/л."
459,Промежуточные смешанные стандартные растворы
460,Генератор радиочастоты
461,Регулятор массового расхода
462,Распылитель с перистальтическим насосом и возможностью регулировки скорости
463,Ультразвуковой распылитель
464,Оптико-эмиссионный спектрометр с индуктивно связанной плазмой
465,Устройство подачи газообразного аргона
466,Лабораторная посуда
467,"Бутыли для хранения базовых растворов, стандартных растворов, растворов для градуировки и растворов пробы"
468,Дозаторы для кислот разного объема.
469,Фильтровальное оборудование
470,Сосуд для минерализации
471,Обратный холодильник
472,Стеклянные шарики с шероховатой поверхностью
473,Микроволновая печь
474,Мембранный фильтр
475,"Вода, сорт 1"
476,"Азотная кислота, концентрированная"
477,"Азотная кислота, с 7 моль/л"
478,"Азотная кислота, с 1 моль/л "
479,"Азотная кислота, с 0,1 моль/л "
480,"Соляная кислота, концентрированная"
481,"Соляная кислота, с (HCI)6 моль/л"
482,"Соляная кислота, с (HCI)1 моль/л "
483,"Основные стандартные растворы, =1000 мг/л "
484,"Стандартный раствор, =10 мг/л"
485,"Стандартный раствор, =1 мг/л"
486,"Стандартный раствор, =100 мкг/л"
487,Калибровочные растворы
488,Холостой калибровочный раствор
489,Модификатор из нитрата палладия и магния
490,Модификатор из нитрата магния
491,Модификатор из дигидрофосфата аммония
492,Модификатор из дигидрофосфата аммония и нитрата магния
493,Никелевый модификатор
494,Продувочный и защитный газ
495,Емкости для проб воды
496,Емкости для проб донных отложений
497,Фильтровальное оборудование
498,Фильтры
499,Агатовая ступка
500,Пипетки
501,"Атомно-абсорбционный спектрометр, оборудованный графитовой печью"
502,Автодозатор
503,Графитовые трубки
504,"Камера тепла и соляного тумана объемом не менее 0,4 м3, с автоматическим поддержанием температуры режима"
505,Устройство для подачи и контроля тепла с погрешностью +/- 2 °C
506,Центробежный или ультразвуковой аэрозольный аппарат
507,"Сборник осаждающегося соляного тумана, состоящий из измерительного цилиндра по ГОСТ 1770-74 со вставленной в него стеклянной воронкой типа B по ГОСТ 25336-82 диаметром 100 мм"
508,"Анализатор жидкости потенциометрический по ГОСТ 27987-88 с точностью измерения +/- 0,1 pH"
509,Эксикаторы по ГОСТ 25336-82
510,Установка типа 'коррозионное колесо' или 'штоковое коромысло'
511,"узкодиапазонная индикаторная бумага с точностью измерения +/- 0,1 pH, градуированной электрометрически"
512,"Толщиномер (ГОСТ 11358) с ценой деления 0,01 мм"
513,Линейка с ценой деления 1 мм
514,"Толщиномер с ценой деления 0,1 мм"
515,"Прибор из основного резервуара, снабженного соосным кольцевым зажимом для крепления образца, обеспечивающий подачу воды при комнатной температуре сверху или снизу на площади 100 см  со скоростью (98±20) Па/с "
516,"Резиновый шланг, соединяющий регулятор постоянного уровня и резервуар, с внутренним диаметром не менее 6 мм. "
517,"Гидростатический прибор, способный поддерживать давление не менее 690 кПа с точностью ±7,0 кПа"
518,"Кольцевые зажимы внутренним диаметром (31,5±0,5) мм"
519,"Шкала давления должна типа 'Баурдон' с ценой деления, позволяющей регистрировать данные по всей шкале с точностью 1,0% максимального значения"
520,Психрометр универсальный с диапазоном измерения температуры от 0 до 45°С
521,"Секундомер механический по нормативно-технической документации, класс точности 3"
522,"Фотоколориметр или спектрофотометр любых моделей, обеспечивающие измерение при 840 нм (оптимальная длина волны) или 750 нм (допустимая длина волны) "
523,Прибор стеклянный для отгонки и поглощения мышьяка в двух вариантах
524,Весы лабораторные общего назначения по ГОСТ 24104 2-го класса точности с наибольшим пределом взвешивания 20 и 200 г
525,Пробирки с пришлифованной пробкой П4-10-14/23 по ГОСТ 25336
526,"Колбы мерные 1-100-2, 1-500-2, 1-1000-2, 2-100-2, 2-500-2, 2-1000-2 по ГОСТ 1770"
527,"Пипетки мерные 4-2-1, 4-2-5, 4-2-10, 5-2-1, 5-2-5, 5-2-10, 6-2-1, 6-2-5, 6-2-10 по нормативно-технической документации"
528,"Цилиндры мерные 1-25, 1-100, 3-25, 3-100 по ГОСТ 1770"
529,Пробки резиновые N 16 и 19 по ТУ 38.1051835
530,"Ступка фарфоровая, диаметр 75 мм, по ГОСТ 9147"
531,Стаканы В-1-250 ТХС по ГОСТ 25336
532,Баня водяная
533,"Колориметр фотометрический лабораторный или спектрофотометр, обеспечивающие измерение оптической плотности при длине волны 510-610 нм "
534,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и допускаемой погрешностью +/- 0,00075 г по ГОСТ 24104 "
535,pH-метр любой модели
536,"Колбы 2-50-2, 2-100-2, 2-1000-2 по ГОСТ 1770"
537,Колбы Кн-2-500-ТС по ГОСТ 25336
538,"Пипетки 4-1-1, 5-1-1, 4-1-2, 5-1-2, 6-1-5, 7-1-5, 6-1-10, 7-1-10, 6-1-25, 7-1-25 по ГОСТ 20292"
539,Сосуды полиэтиленовые вместимостью 100 и 1000 см3
540,"Цилиндры 1-50, 3-50 по ГОСТ 1770"
541,Разрывная машина типа РТ-250 со специальным приспособлением. Мощность машины не должна превышать нагрузку разрушения более чем в 10 раз. Нижние зажимы должны двигаться со скоростью 100 мм/мин
542,Прибор для отрыва ранта от стельки
543,"Линейки измерительные - по ГОСТ 427, ГОСТ 17435"
544,прибор типа ЖНЗО-2
545,Разрывная машина с верхним пределом нагрузок 2500 Н; скорость движения нижнего штока (100 +/- 10) мм/мин
546,"Приспособление, разработанное УкрНИИКП для проведения испытаний гибкости обуви"
547,"Устройство для крепления испытуемой полупары обуви состоит из столика, винтового прижима, платформы, стойки"
548,"Устройство, изгибающее носочную часть обуви по линии изгиба, состоит из упора, подвешенного к верхнему захвату разрывной машины"
549,"Прибор для испытания устойчивости окраски к трению, обеспечивающий перемещение смежной хлопчатобумажной ткани или элементарной пробы на расстояние 100 мм, с нагрузкой 9 Н и диаметром трущего стержня 16 мм "
550,Смежная хлопчатобумажная ткань по ГОСТ 9733.0-83
551,Серые шкалы для оценки закрашивания и изменения окраски по ГОСТ 9733.0-83
552,"Фотоэлектроколориметр лабораторный или спектрофотометр, обеспечивающие измерение оптической плотности при длине волны 525-540 нм "
553,Весы лабораторные по ГОСТ 24104 2-го класса точности с наибольшим пределом взвешивания 200 и 500 г
554,pH-метр любой модели
555,Баня песчаная или электроплитка по ГОСТ 14919
556,"Колбы 2-50-2, 2-100-2, 2-250-2, 2-1000-2 по ГОСТ 1770"
557,Колбы Кн-2-50 ТС по ГОСТ 25336
558,"Пипетки 4-1-1, 4-1-2, 5-14-41, 5-1-2, 6-11-5, 6-1-10, 6-1-25, 7-1-5, 7-1-10, 7-1-25 по ГОСТ 20292"
559,"Цилиндры 2-100, 2-250 по ГОСТ 1770"
560,Стаканы В-1-50 ТС по ГОСТ 25336
561,Блокнот
562,Электронно вычислиельная машина
563,Фотоэлектроколориметр или спектрофотометр
564,Пробирки вместимостью 10 см3
565,Колбы мерные по ГОСТ 1770
566,"Пипетки вместимостью 10 см3  и 1 см3  с ценой деления 0,01 см  по ГОСТ 29227"
567,Пробирки вместимостью 15 см3  по ГОСТ 25336
568,Пипетки вместимостью 10-20 см3  по ГОСТ 29227
569,"Спектрограф кварцевый, средней дисперсии типа ИСП-28, ИСП-30 и др"
570,Генератор дуговой
571,"Приспособление для подачи раствора в зону горения дуги любой конструкции (например, вращающийся диск) с линейной скоростью перемещения в зоне разряда около 4 мм/с)"
572,"Угли спектральные, безборные, заточенные на конус, или медные электроды марки М-1 по ГОСТ 859, заточенные на полусферу"
573,"Фильтры обеззоленные 9 мм, плотные и средней плотности"
574,"Фотопластинки спектральные УФШ, типа 3 или 1 (в зависимости от определяемых концентраций)"
575,Фотоэлектроколориметр
576,"Колбы мерные вместимостью 100, 500, 1000 см  по НТД"
577,Пипетки мерные вместимостью 5 и 10 см3  по ГОСТ 1770
578,Спектрофотометр
579,Пробирки вместимостью 10 см3
580,Колбы мерные вместимостью 100 см3
581,"Пипетки мерные вместимостью 1,5 и 10 см3"
582,Воронки делительные вместимостью 250 см3
583,Чашки фарфоровые диаметром 5-6 см по ГОСТ 9147
584,Спектрофотометр атомно-абсорционный
585,Колбы мерные по НТД
586,"Пипетки мерные вместимостью 1,5 и 10 см  по ГОСТ 1770"
587,Центрифуга лабораторная
588,Колбы мерные вместимостью 25 см  по ГОСТ 1770
589,Пипетки мерные по ГОСТ 29227
590,Стаканы центрифужные вместимостью 25 см3
591,Чашки фарфоровые N 1 по ГОСТ 9147
592,"Проволока платиновая, кусочки длиной 5-10 мм"
593,"Источники излучения - лампы с полым катодом для определения меди, цинка, никеля, кобальта, железа, марганца, хрома"
594,"Весы лабораторные с погрешностью взвешивания не более 0,0002 г"
595,Микрофотометр
596,"Посуда вместимостью 0,2 - 0,5 дм3, изготовленную из полимерных материалов"
597,Цилиндр мерный вместимостью 500 см3 по ГОСТ 1770
598,Колбы мерные по ГОСТ 1770
599,Пипетки градуированные по ГОСТ 29227 или с одной отметкой по ГОСТ 29169
600,Микродозаторы
601,"Весы лабораторные с наибольшим пределом взвешивания 220 г, обеспечивающие точность взвешивания с пределом допускаемой абсолютной погрешности не более +/- 0,75 мг"
602,Стаканчики для взвешивания по ГОСТ 25336
603,Стакан термостойкий по ГОСТ 25336
604,Холодильник бытовой любого типа
605,"Фильтры мембранные с диаметром пор 0,45 мкм"
606,Устройство для фильтрования
607,Плитка электрическая с закрытой спиралью по ГОСТ 14919
608,Аквадистилляторы одноступенчатый и двухступенчатый по ГОСТ 28165
609,"Посуда для транспортирования и хранения отобранных проб воды вместимостью от 0,2 до 0,5 дм3 из полимерных материалов "
610,"Кислота азотная по ГОСТ 11125, особой чистоты, или по ГОСТ 4461, очищенная методом перегонки"
611,"Флуориметр, спектрофлуориметр или анализатор жидкости флуоресцентный, позволяющий регистрировать флуоресценцию в области спектра 350 - 375 нм при возбуждении в области 310 - 340 нм"
612,"Весы лабораторные по ГОСТ 24104 специального класса точности (I) с наибольшим пределом взвешивания 220 г и ценой деления (дискретностью отсчета) 0,1 мг"
613,"Колбы мерные по ГОСТ 1770, 2-го класса точности, вместимостью 25, 50, 100, 200 и 500 см3"
614,"Пипетки с одной отметкой по ГОСТ 29169, 2-го класса точности, исполнения 2, вместимостью 5, 10, 20 см3"
615,"Пипетки градуированные по ГОСТ 29227, 2-го класса точности, вместимостью 1, 2, 5 и 10 см3"
616,"Колбы плоскодонные по ГОСТ 25336, типа П-1, вместимостью 500 см3"
617,"Воронки лабораторные по ГОСТ 25336, типа В-36 или В-75"
618,"Стаканы химические по ГОСТ 25336, вместимостью 100, 250, 500 и 1000 см3"
619,"Стаканы термостойкие по ГОСТ 25336, типа В-1, вместимостью 50, 100 см3"
620,Плитка электрическая с закрытой спиралью по ГОСТ 14919
621,Устройство для фильтрования
622,Плитка электрическая с закрытой спиралью по ГОСТ 14919
623,Аквадистилляторы одноступенчатый и двухступенчатый по ГОСТ 28165
624,"Посуда для транспортирования и хранения отобранных проб воды вместимостью от 0,2 до 0,5 дм3 из полимерных материалов "
625,"Кислота азотная по ГОСТ 11125, особой чистоты, или по ГОСТ 4461, очищенная методом перегонки"
626, "разрывные машины марки РТ-250 или другие, обеспечивающие скорость движения нижнего зажима (100±10) мм/мин"
627, "Сорбционные трубки из нержавеющей стали или стекла, содержащие не менее 200 мг сорбента Tenax TA"
628, "Соединение сорбционных трубок"
629, "Микрошприц с ценой деления не более 0,1 мкл"
630, "Насос для отбора проб"
631, "Пузырьковый расходомер или другое устройство для калибровки газового потока"
632, "Газохроматографическая система (далее - ГХС) с пламенно-ионизационным и/или масс-спектрометрическим детектором(ами), способным(и) обнаружить введение не более 1 нг толуола, при соотношении сигнал-шум не менее 5:1."
633, "Капиллярная колонка"
634, "Устройство для термической десорбции для проведения двухстадийной термической десорбции ЛОС из сорбционных трубок и переноса десорбированных паров с помощью потока инертного газа в ГХС"
635, "Устройство ввода жидких проб газового хроматографа, используемое для подготовления сорбционных трубок для градуировки (необязательно)"
636, "Хроматографическая разделяющая ионо-эксклюзионная колонка ВТ 111 OS из стекла, длиной 350 мм и внутренним диаметром 9 мм"
637, "Концентрационная колонка, длиной 50 мм и внутренним диаметром 3 мм, заполненная сорбентом, аналогичным с разделяющей колонкой фирмы Biotronik"
638, "Концентрационный насос, производительностью 0,1 - 9,9 куб. см/мин., фирмы Milton Roy"
639, "Интегратор С-6 АХ фирмы Shimadzu"
640, "Термометр лабораторный шкальный ТЛ-2, пределы измерения 0 - 100 °С, цена деления - 1 °С  ГОСТ 215-73Е"
641, "Прибор для отбора проб воздуха, позволяющий проводить отбор проб с расходом от 0,1 до 0,5 куб. дм/мин. и погрешностью не более 5% ГОСТ 17.2.6.01"
642, "Электроплитка ГОСТ 14919-83"
643, "Пробирки стеклянные с пришлифованными пробками вместимостью 10 куб. см ГОСТ 25336 "
644, "Баня водяная с регулятором температуры любого типа"
